study;version;doi;field_start;field_end;id;lastname;firstname;gender;state;party;district_name;district_number;incumbent;list_place;isListed;isDC;screen_name1;screen_name2;user_id1;user_id2;change_v2
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11716;"Agu";"Diyar";"m";"NW";"DIE LINKE";"Oberbergischer Kreis";99;0;18;1;1;"diyar_agu";"";"1464802938";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10240;"Ahmetovic";"Adis";"m";"NI";"SPD";"Stadt Hannover I";41;0;29;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10178;"Ahnefeld";"Andreas";"m";"NI";"CDU";"";;0;59;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";8091;"Akbulut";"Cetin";"m";"HH";"FDP";"";;0;4;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3392;"Akbulut";"Gökay";"w";"BW";"DIE LINKE";"Mannheim";275;1;2;1;1;"akbulutgokay";"";"800457587510476800";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";5845;"Akkamis";"Gökhan";"m";"HB";"FDP";"Bremen II  Bremerhaven";55;0;3;1;1;"gokhan_akkamis";"";"1358522179344809985";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";7028;"Al-Dailami";"Ali Abass Yahya";"m";"HE";"DIE LINKE";"Gießen";173;0;2;1;1;"ali_aldailami";"";"989599708917137408";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4610;"Al-Halak";"Muhanad";"m";"BY";"FDP";"Deggendorf";227;0;14;1;1;"halakmuhanad";"";"1084016250324484096";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11634;"Al-Qura'an";"Anas";"m";"NW";"GRÜNE";"";;0;42;1;0;"anasalquraan2";"";"1337449475577683970";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";9138;"Alabali-Radovan";"Reem";"w";"MV";"SPD";"Schwerin  Ludwigslust-Parchim I  Nordwestmecklenburg I";12;0;6;1;1;"reemalabali";"";"1217456777643659269";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10179;"Albani";"Stephan Theodor Johannes";"m";"NI";"CDU";"Oldenburg  Ammerland";27;1;11;1;1;"stephan_albani";"";"884120154";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10428;"Albers";"Friedrich-Bernd";"m";"NI";"DIE LINKE";"Aurich  Emden";24;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";15015;"Albert";"Julia Friederike";"w";"SL";"CDU";"";;0;6;1;0;"juliaalbert1990";"";"1373204324780806146";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";17243;"Albrecht";"Birgit";"w";"ST";"AfD";"";;0;6;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";7064;"Albrecht";"Erich Willy";"m";"HE";"AfD";"Hanau";180;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10180;"Albrecht";"Philipp Josef Erich";"m";"NI";"CDU";"Delmenhorst  Wesermarsch  Oldenburg-Land";28;0;26;1;1;"albrecht_cdu";"";"1255077182";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12901;"Albrecht";"Jutta";"w";"RP";"CDU";"";;0;24;1;0;"jutta_albrecht";"";"24557593";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12926;"Aldemir";"Aziz";"m";"RP";"DIE LINKE";"Ahrweiler";198;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4446;"Alesik";"Nicole";"w";"BY";"CSU";"";;0;64;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10307;"Ali";"Nemir";"m";"NI";"FDP";"Stadt Osnabrück";39;0;16;1;1;"nemir_ali_os";"";"1298741420430327808";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3167;"Alt";"Julia Emilie";"w";"BW";"CDU";"";;0;31;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3294;"Alt";"Renata";"w";"BW";"FDP";"Nürtingen";262;1;7;1;1;"renataalt_mdb";"";"1001837201276235777";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4561;"Altenhöner";"Freya";"w";"BY";"SPD";"Würzburg";251;0;30;1;1;"faltenhoner";"";"1331692466030964743";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6870;"Altenkamp";"Norbert Maria";"m";"HE";"CDU";"Main-Taunus";181;1;16;1;1;"naltenkamp";"";"1319570576957149184";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10409;"Althaus";"Thorsten";"m";"NI";"AfD";"Nienburg II  Schaumburg";40;0;;0;1;"thorstenalthau2";"";"1218949372576256000";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";15016;"Altmaier";"Peter";"m";"SL";"CDU";"Saarlouis";297;1;2;1;1;"peteraltmaier";"";"378693834";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";9130;"Amthor";"Philipp";"m";"MV";"CDU";"Mecklenburgische Seenplatte I  Vorpommern-Greifswald II";16;1;1;1;1;"philipp_amthor";"";"934016327567790080";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13964;"Amtsberg";"Luise";"w";"SH";"GRÜNE";"Kiel";5;1;1;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13953;"Anastasiadis";"Christoph Georgios";"m";"SH";"FDP";"Flensburg  Schleswig";1;0;6;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2173;"Anders-Granitzki";"Manuela";"w";"BE";"CDU";"Berlin-Pankow";76;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11635;"Andrä";"Christian Thomas";"m";"NW";"GRÜNE";"Düren";90;0;46;1;1;"fuerlangerwehe";"";"1198697363734441984";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11493;"Andres";"Dagmar";"w";"NW";"SPD";"Euskirchen  Rhein-Erft-Kreis II";92;0;18;1;1;"dagmarandres";"";"126421442";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2123;"Annan";"Tarek";"m";"BE";"GRÜNE";"";;0;20;1;0;"tarek_digital";"";"369412507";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";8078;"Annen";"Niels";"m";"HH";"SPD";"Hamburg-Eimsbüttel";20;1;2;1;1;"nielsannen";"";"42401449";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11636;"Anschütz";"Elisabeth Gertrud";"w";"NW";"GRÜNE";"Rhein-Sieg-Kreis I";97;0;45;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11637;"Antary";"Frederik Paul";"m";"NW";"GRÜNE";"";;0;80;1;0;"antaryfrederik";"";"3123950502";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3295;"Anton";"Andreas";"m";"BW";"FDP";"Rottweil  Tuttlingen";285;0;33;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4611;"Anton";"Sascha David";"m";"BY";"FDP";"";;0;70;1;0;"sascha_anton";"";"1340347238917259265";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12927;"Antpöhler-Zwiernik";"Oliver";"m";"RP";"DIE LINKE";"Koblenz";199;0;;0;1;"ozwiernik";"";"1401286008897949699";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3168;"Apel";"Dominik Markus";"m";"BW";"CDU";"";;0;23;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10335;"Appuhn";"Svenja Vivien";"w";"NI";"GRÜNE";"";;0;33;1;0;"svenjaappuhn";"";"3304006762";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11638;"Ariatabar";"Parisa";"w";"NW";"GRÜNE";"";;0;50;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";9139;"Arlt";"Johannes";"m";"MV";"SPD";"Mecklenburgische Seenplatte II  Landkreis Rostock III";17;0;5;1;1;"arlt_johannes";"";"1262451438103465984";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";15050;"Armbrüster";"Ralf";"m";"SL";"FDP";"Homburg";299;0;;0;1;"klarliberal";"";"351405321";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11574;"Arning";"René";"m";"NW";"FDP";"Coesfeld  Steinfurt II";127;0;50;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4834;"Arnold";"Dieter";"m";"BY";"AfD";"Regensburg";233;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";5839;"Arpaz";"Selin Ece";"w";"HB";"SPD";"";;0;3;1;0;"analogueminds";"";"820341745523294213";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4681;"Arz";"Christoph";"m";"BY";"GRÜNE";"Altötting";212;0;52;1;1;"christoph_arz";"";"984884306853187584";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13954;"Aschenberg-Dugnus";"Christine Irene";"w";"SH";"FDP";"Rendsburg-Eckernförde";4;1;3;1;1;"cad59";"";"25980076";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10308;"Asi";"Ferhat";"m";"NI";"FDP";"Unterems";25;0;22;1;1;"ferhatasi6";"";"1316094221816823813";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11409;"Aßmann";"Barbara";"w";"NW";"CDU";"";;0;52;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3333;"Ateia";"Jasmin";"w";"BW";"GRÜNE";"";;0;40;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2124;"Audretsch";"Andreas";"m";"BE";"GRÜNE";"Berlin-Neukölln";82;0;4;1;1;"anaudretsch";"";"995519538";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4682;"Auer";"Stefanie Maria";"w";"BY";"GRÜNE";"Passau";229;0;33;1;1;"stefanie_m_auer";"";"1119853446327304192";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4447;"Auerhahn";"Anna-Maria";"w";"BY";"CSU";"";;0;34;1;0;"annaauerhahn";"";"978547698654642176";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4448;"Auernhammer";"Artur";"m";"BY";"CSU";"Ansbach";241;1;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6871;"Aufenanger";"Michael";"m";"HE";"CDU";"Kassel";168;0;18;1;1;"michaelaufenan1";"";"1326396523068989447";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4449;"Aumer";"Peter";"m";"BY";"CSU";"Regensburg";233;1;;0;1;"peteraumer";"";"348460907";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11639;"Außendorf";"Maik";"m";"NW";"GRÜNE";"Rheinisch-Bergischer Kreis";100;0;18;1;1;"maik_aussendorf";"";"24253731";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10181;"Averbeck";"Petra";"w";"NI";"CDU";"";;0;49;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10182;"Babendererde";"Cornell-Anette";"w";"NI";"CDU";"";;0;62;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11640;"Babenhauserheide";"Maik";"m";"NW";"GRÜNE";"Herford  Minden-Lübbecke II";133;0;40;1;1;"babman";"";"16690437";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6976;"Bach";"Jorias";"m";"HE";"FDP";"Werra-Meißner  Hersfeld-Rotenburg";169;0;17;1;1;"joriasbach";"";"1356582371794038784";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";18307;"Bach";"Sebastian Freimund";"m";"TH";"DIE LINKE";"";;0;9;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3334;"Bacherle";"Tobias Björn";"m";"BW";"GRÜNE";"Böblingen";260;0;13;1;1;"tbbacherle";"";"2835233692";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";16170;"Bachmann";"Carolin";"w";"SN";"AfD";"Mittelsachsen";161;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4612;"Bachmann";"Sven Wilhelm";"m";"BY";"FDP";"Bamberg";236;0;54;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13989;"Bachmann";"Sophie";"w";"SH";"DIE LINKE";"";;0;5;1;0;"scbachmann";"sophiebachmannb";"112965661";"1325025208940580864";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4683;"Badum";"Lisa Hildegard";"w";"BY";"GRÜNE";"Bamberg";236;1;9;1;1;"badulrichmartha";"";"282195399";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3257;"Baehrens";"Heike Charlotte";"w";"BW";"SPD";"Göppingen";263;1;13;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1044;"Baerbock";"Annalena Charlotte Alma";"w";"BB";"GRÜNE";"Potsdam  Potsdam-Mittelmark II  Teltow-Fläming II";61;1;1;1;1;"abaerbock";"";"2179010672";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";7077;"Bahl";"Sascha";"m";"HE";"DIE LINKE";"Bergstraße";188;0;;0;1;"saschabahl";"";"327577743";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4562;"Bahr";"Ulrike Renate Martina";"w";"BY";"SPD";"Augsburg-Stadt";252;1;16;1;1;"mdb_ulrike_bahr";"";"724565991104110592";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12798;"Baldy";"Daniel";"m";"RP";"SPD";"Mainz";205;0;5;1;1;"baldy_daniel";"";"3305672686";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12902;"Balthasar-Schäfer";"Stephanie";"w";"RP";"CDU";"";;0;23;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11641;"Banaszak";"Felix";"m";"NW";"GRÜNE";"Duisburg II";116;0;6;1;1;"fbanaszak";"";"395209158";"";0
